"type_of_poll","date","pollster","geography","sample_size","party","value"
"state",2005-04-05,"No Province Left Behind","Binaryshire",500,"CC",415
"state",2005-04-05,"No Province Left Behind","Binaryshire",500,"DGM",11
"state",2005-04-05,"No Province Left Behind","Binaryshire",500,"PDAL",74
"state",2005-04-05,"No Province Left Behind","Binaryshire",500,"SSP",0
"state",2005-04-10,"Progressive Polling","Circuiton",1000,"CC",97
"state",2005-04-10,"Progressive Polling","Circuiton",1000,"DGM",301
"state",2005-04-10,"Progressive Polling","Circuiton",1000,"PDAL",603
"state",2005-04-10,"Progressive Polling","Circuiton",1000,"SSP",0
"state",2005-04-14,"Progressive Polling","Byteforge Domain",1000,"CC",318
"state",2005-04-14,"Progressive Polling","Byteforge Domain",1000,"DGM",113
"state",2005-04-14,"Progressive Polling","Byteforge Domain",1000,"PDAL",569
"state",2005-04-14,"Progressive Polling","Byteforge Domain",1000,"SSP",0
"state",2005-04-16,"Synapse Strategies","Cerebrica",1000,"CC",225
"state",2005-04-16,"Synapse Strategies","Cerebrica",1000,"DGM",371
"state",2005-04-16,"Synapse Strategies","Cerebrica",1000,"PDAL",319
"state",2005-04-16,"Synapse Strategies","Cerebrica",1000,"SSP",85
"state",2005-04-18,"Synapse Strategies","Cerebrica",1000,"CC",227
"state",2005-04-18,"Synapse Strategies","Cerebrica",1000,"DGM",401
"state",2005-04-18,"Synapse Strategies","Cerebrica",1000,"PDAL",293
"state",2005-04-18,"Synapse Strategies","Cerebrica",1000,"SSP",79
"state",2005-04-20,"Metaflux University","Byteforge Domain",1500,"CC",631
"state",2005-04-20,"Metaflux University","Byteforge Domain",1500,"DGM",117
"state",2005-04-20,"Metaflux University","Byteforge Domain",1500,"PDAL",752
"state",2005-04-20,"Metaflux University","Byteforge Domain",1500,"SSP",0
"state",2005-04-21,"No Province Left Behind","Amperville",500,"CC",18
"state",2005-04-21,"No Province Left Behind","Amperville",500,"DGM",80
"state",2005-04-21,"No Province Left Behind","Amperville",500,"PDAL",401
"state",2005-04-21,"No Province Left Behind","Amperville",500,"SSP",0
"state",2005-04-22,"Metaflux University","Quantumridge",1500,"CC",334
"state",2005-04-22,"Metaflux University","Quantumridge",1500,"DGM",385
"state",2005-04-22,"Metaflux University","Quantumridge",1500,"PDAL",781
"state",2005-04-22,"Metaflux University","Quantumridge",1500,"SSP",0
"state",2005-04-23,"Synapse Strategies","Cerebrica",1000,"CC",184
"state",2005-04-23,"Synapse Strategies","Cerebrica",1000,"DGM",380
"state",2005-04-23,"Synapse Strategies","Cerebrica",1000,"PDAL",366
"state",2005-04-23,"Synapse Strategies","Cerebrica",1000,"SSP",69
"state",2005-04-24,"Metaflux University","Quantumridge",1500,"CC",327
"state",2005-04-24,"Metaflux University","Quantumridge",1500,"DGM",509
"state",2005-04-24,"Metaflux University","Quantumridge",1500,"PDAL",664
"state",2005-04-24,"Metaflux University","Quantumridge",1500,"SSP",0
"state",2005-04-26,"Progressive Polling","Voltagea",1000,"CC",120
"state",2005-04-26,"Progressive Polling","Voltagea",1000,"DGM",318
"state",2005-04-26,"Progressive Polling","Voltagea",1000,"PDAL",562
"state",2005-04-26,"Progressive Polling","Voltagea",1000,"SSP",0
"state",2005-04-27,"Progressive Polling","Byteforge Domain",1000,"CC",386
"state",2005-04-27,"Progressive Polling","Byteforge Domain",1000,"DGM",116
"state",2005-04-27,"Progressive Polling","Byteforge Domain",1000,"PDAL",499
"state",2005-04-27,"Progressive Polling","Byteforge Domain",1000,"SSP",0
"state",2005-04-29,"Progressive Polling","Byteforge Domain",1000,"CC",364
"state",2005-04-29,"Progressive Polling","Byteforge Domain",1000,"DGM",134
"state",2005-04-29,"Progressive Polling","Byteforge Domain",1000,"PDAL",502
"state",2005-04-29,"Progressive Polling","Byteforge Domain",1000,"SSP",0
"state",2005-04-29,"Metaflux University","Infinitron Peninsula",1500,"CC",668
"state",2005-04-29,"Metaflux University","Infinitron Peninsula",1500,"DGM",495
"state",2005-04-29,"Metaflux University","Infinitron Peninsula",1500,"PDAL",337
"state",2005-04-29,"Metaflux University","Infinitron Peninsula",1500,"SSP",0
"state",2005-04-30,"No Province Left Behind","Quantumridge",500,"CC",120
"state",2005-04-30,"No Province Left Behind","Quantumridge",500,"DGM",167
"state",2005-04-30,"No Province Left Behind","Quantumridge",500,"PDAL",213
"state",2005-04-30,"No Province Left Behind","Quantumridge",500,"SSP",0
"state",2005-05-01,"Metaflux University","Infinitron Peninsula",1500,"CC",814
"state",2005-05-01,"Metaflux University","Infinitron Peninsula",1500,"DGM",383
"state",2005-05-01,"Metaflux University","Infinitron Peninsula",1500,"PDAL",303
"state",2005-05-01,"Metaflux University","Infinitron Peninsula",1500,"SSP",0
"state",2005-05-02,"Proudly Paid For Polling","Binaryshire",1000,"CC",858
"state",2005-05-02,"Proudly Paid For Polling","Binaryshire",1000,"DGM",21
"state",2005-05-02,"Proudly Paid For Polling","Binaryshire",1000,"PDAL",120
"state",2005-05-02,"Proudly Paid For Polling","Binaryshire",1000,"SSP",0
"state",2005-05-03,"No Province Left Behind","Quantumridge",500,"CC",122
"state",2005-05-03,"No Province Left Behind","Quantumridge",500,"DGM",133
"state",2005-05-03,"No Province Left Behind","Quantumridge",500,"PDAL",245
"state",2005-05-03,"No Province Left Behind","Quantumridge",500,"SSP",0
"state",2005-05-03,"Proudly Paid For Polling","Infinitron Peninsula",1000,"CC",480
"state",2005-05-03,"Proudly Paid For Polling","Infinitron Peninsula",1000,"DGM",313
"state",2005-05-03,"Proudly Paid For Polling","Infinitron Peninsula",1000,"PDAL",207
"state",2005-05-03,"Proudly Paid For Polling","Infinitron Peninsula",1000,"SSP",0
"state",2005-05-04,"Synapse Strategies","Cerebrica",1000,"CC",202
"state",2005-05-04,"Synapse Strategies","Cerebrica",1000,"DGM",403
"state",2005-05-04,"Synapse Strategies","Cerebrica",1000,"PDAL",298
"state",2005-05-04,"Synapse Strategies","Cerebrica",1000,"SSP",97
"state",2005-05-04,"Dataland Register-Gazette","Circuiton",1500,"CC",175
"state",2005-05-04,"Dataland Register-Gazette","Circuiton",1500,"DGM",612
"state",2005-05-04,"Dataland Register-Gazette","Circuiton",1500,"PDAL",712
"state",2005-05-04,"Dataland Register-Gazette","Circuiton",1500,"SSP",0
"state",2005-05-04,"No Province Left Behind","Quantumridge",500,"CC",128
"state",2005-05-04,"No Province Left Behind","Quantumridge",500,"DGM",162
"state",2005-05-04,"No Province Left Behind","Quantumridge",500,"PDAL",209
"state",2005-05-04,"No Province Left Behind","Quantumridge",500,"SSP",0
"state",2005-05-04,"Proudly Paid For Polling","Quantumridge",1000,"CC",172
"state",2005-05-04,"Proudly Paid For Polling","Quantumridge",1000,"DGM",378
"state",2005-05-04,"Proudly Paid For Polling","Quantumridge",1000,"PDAL",450
"state",2005-05-04,"Proudly Paid For Polling","Quantumridge",1000,"SSP",0
"state",2005-05-05,"Cobolite Coalition Calling","Circuiton",2000,"CC",319
"state",2005-05-05,"Cobolite Coalition Calling","Circuiton",2000,"DGM",751
"state",2005-05-05,"Cobolite Coalition Calling","Circuiton",2000,"PDAL",930
"state",2005-05-05,"Cobolite Coalition Calling","Circuiton",2000,"SSP",0
"state",2005-05-05,"Proudly Paid For Polling","Neuronia",1000,"CC",31
"state",2005-05-05,"Proudly Paid For Polling","Neuronia",1000,"DGM",228
