scenario,year,date_conducted,date_published,pollster,geography,mode,sample_size,population_surveyed,sponsor,cc_poll_share,dgm_poll_share,pdal_poll_share,ssp_poll_share,undecided_poll_share
A,2024,2024-04-02,2024-04-03,Dataland Daily,National,Online,200,Adults,None,0.2,0.225,0.28,0.06,0.235
A,2024,2024-04-03,2024-04-04,Dataland Daily,National,Online,200,Adults,None,0.27,0.165,0.28,0.05,0.235
A,2024,2024-04-03,2024-04-05,Cobolite Coalition Calling,Synapse Territories,IVR,2000,RV,CC,0.2,0.195,0.204,0.226,0.175
A,2024,2024-04-05,2024-04-06,Dataland Daily,National,Online,200,Adults,None,0.275,0.2,0.245,0.065,0.215
A,2024,2024-04-04,2024-04-06,Dataland Daily,National,Online,200,Adults,None,0.235,0.25,0.315,0.065,0.135
A,2024,2024-04-06,2024-04-07,Dataland Daily,National,Online,200,Adults,None,0.19,0.2,0.34,0.055,0.215
A,2024,2024-04-05,2024-04-07,Progressive Polling,Cortexia,Live caller,1000,Adults,None,0.151,0.165,0.263,0.3,0.121
A,2024,2024-04-05,2024-04-07,Progressive Polling,Voltagea,Live caller,1000,Adults,None,0.14,0.212,0.478,0,0.17
A,2024,2024-04-07,2024-04-08,Dataland Daily,National,Online,200,Adults,None,0.23,0.23,0.29,0.02,0.23
A,2024,2024-04-08,2024-04-09,Cobolite Coalition Calling,Infoglen,IVR,2000,RV,CC,0.505,0.139,0.194,0,0.162
A,2024,2024-04-07,2024-04-09,Big Dataland Surveys,Circuit Confederation,Online,10000,RV,None,0.248,0.199,0.388,0,0.164
A,2024,2024-04-09,2024-04-10,No Province Left Behind,Binaryshire,IVR,500,RV,None,0.764,0.006,0.078,0,0.152
A,2024,2024-04-08,2024-04-10,Dataland Daily,National,Online,200,Adults,None,0.24,0.14,0.39,0.06,0.17
A,2024,2024-04-10,2024-04-11,Dataland Daily,National,Online,200,Adults,None,0.175,0.205,0.32,0.06,0.24
A,2024,2024-04-09,2024-04-11,Dataland Daily,National,Online,200,Adults,None,0.2,0.235,0.3,0.05,0.215
A,2024,2024-04-11,2024-04-12,Cobolite Coalition Calling,Metaflux Realm,IVR,2000,RV,CC,0.576,0.105,0.156,0,0.164
A,2024,2024-04-11,2024-04-12,Dataland Daily,National,Online,200,Adults,None,0.21,0.2,0.37,0.065,0.155
A,2024,2024-04-12,2024-04-13,Progressive Polling,Cerebrica,Live caller,1000,Adults,PDAL,0.261,0.279,0.271,0.071,0.118
A,2024,2024-04-12,2024-04-13,Dataland Daily,National,Online,200,Adults,None,0.28,0.155,0.23,0.05,0.285
A,2024,2024-04-13,2024-04-14,Dataland Daily,National,Online,200,Adults,None,0.295,0.19,0.25,0.04,0.225
A,2024,2024-04-15,2024-04-16,Dataland Daily,National,Online,200,Adults,None,0.22,0.175,0.395,0.04,0.17
A,2024,2024-04-14,2024-04-16,Dataland Daily,National,Online,200,Adults,None,0.255,0.19,0.335,0.05,0.17
A,2024,2024-04-17,2024-04-18,Dataland Daily,National,Online,200,Adults,None,0.31,0.185,0.245,0.06,0.2
A,2024,2024-04-16,2024-04-18,Progressive Polling,Cerebrica,Live caller,1000,Adults,None,0.281,0.265,0.239,0.057,0.158
A,2024,2024-04-16,2024-04-18,Dataland Daily,National,Online,200,Adults,None,0.24,0.23,0.285,0.015,0.23
A,2024,2024-04-18,2024-04-19,Dataland Daily,National,Online,200,Adults,None,0.195,0.265,0.29,0.09,0.16
A,2024,2024-04-20,2024-04-21,Dataland Daily,National,Online,200,Adults,None,0.27,0.245,0.245,0.08,0.16
A,2024,2024-04-20,2024-04-21,Synapse Strategies,Synapse Territories,Online,1000,RV,SSP,0.188,0.192,0.187,0.289,0.144
A,2024,2024-04-19,2024-04-21,Dataland Daily,National,Online,200,Adults,None,0.32,0.175,0.305,0.03,0.17
A,2024,2024-04-20,2024-04-22,Cobolite Coalition Calling,Neuronia,IVR,2000,RV,CC,0.06,0.132,0.105,0.517,0.186
A,2024,2024-04-21,2024-04-23,Dataland Daily,National,Online,200,Adults,None,0.25,0.2,0.29,0.07,0.19
A,2024,2024-04-21,2024-04-23,No Province Left Behind,Neuronia,IVR,500,RV,None,0.034,0.188,0.074,0.618,0.086
A,2024,2024-04-23,2024-04-24,Dataland Daily,National,Online,200,Adults,None,0.195,0.175,0.34,0.095,0.195
A,2024,2024-04-22,2024-04-24,Dataland Daily,National,Online,200,Adults,None,0.205,0.175,0.36,0.075,0.185
A,2024,2024-04-22,2024-04-24,Big Dataland Surveys,National,Online,10000,RV,None,0.265,0.224,0.294,0.059,0.158
A,2024,2024-04-23,2024-04-25,Conference Board of Dataland,Synapse Territories,Live caller,3000,LV,None,0.204,0.196,0.216,0.293,0.092
A,2024,2024-04-25,2024-04-26,Dataland Daily,National,Online,200,Adults,None,0.24,0.18,0.265,0.095,0.22
A,2024,2024-04-24,2024-04-26,Dataland Daily,National,Online,200,Adults,None,0.195,0.195,0.365,0.035,0.21
A,2024,2024-04-26,2024-04-27,Dataland Daily,National,Online,200,Adults,None,0.195,0.19,0.39,0.03,0.195
A,2024,2024-04-25,2024-04-27,Metaflux University,Binaryshire,IVR,1500,Adults,None,0.782,0.008,0.069,0,0.141
A,2024,2024-04-25,2024-04-27,Big Dataland Surveys,Metaflux Realm,Online,10000,RV,None,0.368,0.183,0.312,0,0.136
A,2024,2024-04-27,2024-04-28,Dataland Register-Gazette,Byteforge Domain,Live caller,1500,RV,None,0.412,0.053,0.422,0,0.113
A,2024,2024-04-27,2024-04-28,Dataland Register-Gazette,Cortexia,Live caller,1500,RV,None,0.161,0.185,0.237,0.316,0.102
A,2024,2024-04-26,2024-04-28,Progressive Polling,Byteforge Domain,Live caller,1000,Adults,None,0.363,0.057,0.483,0,0.097
A,2024,2024-04-28,2024-04-29,Proudly Paid For Polling,Amperville,Online,1000,RV,PDAL,0.06,0.108,0.74,0,0.092
A,2024,2024-04-28,2024-04-29,Dataland Daily,National,Online,200,Adults,None,0.235,0.23,0.305,0.075,0.155
A,2024,2024-04-28,2024-04-29,Proudly Paid For Polling,Synapse Territories,Online,1000,RV,DGM,0.165,0.269,0.205,0.228,0.133
