"scenario","type_of_poll","date","pollster","geography","sample_size","party","value"
"A","state",2024-04-07,"Progressive Polling","Cortexia",1000,"CC",172
"A","state",2024-04-07,"Progressive Polling","Cortexia",1000,"DGM",188
"A","state",2024-04-07,"Progressive Polling","Cortexia",1000,"PDAL",299
"A","state",2024-04-07,"Progressive Polling","Cortexia",1000,"SS",341
"A","state",2024-04-07,"Progressive Polling","Voltagea",1000,"CC",169
"A","state",2024-04-07,"Progressive Polling","Voltagea",1000,"DGM",255
"A","state",2024-04-07,"Progressive Polling","Voltagea",1000,"PDAL",576
"A","state",2024-04-07,"Progressive Polling","Voltagea",1000,"SS",0
"A","state",2024-04-09,"Cobolite Coalition Calling","Infoglen",2000,"CC",1205
"A","state",2024-04-09,"Cobolite Coalition Calling","Infoglen",2000,"DGM",332
"A","state",2024-04-09,"Cobolite Coalition Calling","Infoglen",2000,"PDAL",463
"A","state",2024-04-09,"Cobolite Coalition Calling","Infoglen",2000,"SS",0
"A","state",2024-04-10,"No Province Left Behind","Binaryshire",500,"CC",450
"A","state",2024-04-10,"No Province Left Behind","Binaryshire",500,"DGM",4
"A","state",2024-04-10,"No Province Left Behind","Binaryshire",500,"PDAL",46
"A","state",2024-04-10,"No Province Left Behind","Binaryshire",500,"SS",0
"A","state",2024-04-13,"Progressive Polling","Cerebrica",1000,"CC",296
"A","state",2024-04-13,"Progressive Polling","Cerebrica",1000,"DGM",316
"A","state",2024-04-13,"Progressive Polling","Cerebrica",1000,"PDAL",307
"A","state",2024-04-13,"Progressive Polling","Cerebrica",1000,"SS",80
"A","state",2024-04-18,"Progressive Polling","Cerebrica",1000,"CC",334
"A","state",2024-04-18,"Progressive Polling","Cerebrica",1000,"DGM",315
"A","state",2024-04-18,"Progressive Polling","Cerebrica",1000,"PDAL",284
"A","state",2024-04-18,"Progressive Polling","Cerebrica",1000,"SS",68
"A","state",2024-04-22,"Cobolite Coalition Calling","Neuronia",2000,"CC",147
"A","state",2024-04-22,"Cobolite Coalition Calling","Neuronia",2000,"DGM",324
"A","state",2024-04-22,"Cobolite Coalition Calling","Neuronia",2000,"PDAL",258
"A","state",2024-04-22,"Cobolite Coalition Calling","Neuronia",2000,"SS",1270
"A","state",2024-04-23,"No Province Left Behind","Neuronia",500,"CC",19
"A","state",2024-04-23,"No Province Left Behind","Neuronia",500,"DGM",103
"A","state",2024-04-23,"No Province Left Behind","Neuronia",500,"PDAL",40
"A","state",2024-04-23,"No Province Left Behind","Neuronia",500,"SS",338
"A","state",2024-04-27,"Metaflux University","Binaryshire",1500,"CC",1366
"A","state",2024-04-27,"Metaflux University","Binaryshire",1500,"DGM",14
"A","state",2024-04-27,"Metaflux University","Binaryshire",1500,"PDAL",120
"A","state",2024-04-27,"Metaflux University","Binaryshire",1500,"SS",0
"A","state",2024-04-28,"Dataland Register-Gazette","Byteforge Domain",1500,"CC",697
"A","state",2024-04-28,"Dataland Register-Gazette","Byteforge Domain",1500,"DGM",90
"A","state",2024-04-28,"Dataland Register-Gazette","Byteforge Domain",1500,"PDAL",714
"A","state",2024-04-28,"Dataland Register-Gazette","Byteforge Domain",1500,"SS",0
"A","state",2024-04-28,"Dataland Register-Gazette","Cortexia",1500,"CC",269
"A","state",2024-04-28,"Dataland Register-Gazette","Cortexia",1500,"DGM",309
"A","state",2024-04-28,"Dataland Register-Gazette","Cortexia",1500,"PDAL",395
"A","state",2024-04-28,"Dataland Register-Gazette","Cortexia",1500,"SS",527
"A","state",2024-04-28,"Progressive Polling","Byteforge Domain",1000,"CC",402
"A","state",2024-04-28,"Progressive Polling","Byteforge Domain",1000,"DGM",63
