"scenario","type_of_poll","date","pollster","geography","sample_size","party","value"
"B","state",2024-04-04,"Cobolite Coalition Calling","Cortexia",2000,"CC",438
"B","state",2024-04-04,"Cobolite Coalition Calling","Cortexia",2000,"DGM",425
"B","state",2024-04-04,"Cobolite Coalition Calling","Cortexia",2000,"PDAL",418
"B","state",2024-04-04,"Cobolite Coalition Calling","Cortexia",2000,"SSP",719
"B","state",2024-04-08,"Cobolite Coalition Calling","Byteforge Domain",2000,"CC",968
"B","state",2024-04-08,"Cobolite Coalition Calling","Byteforge Domain",2000,"DGM",146
"B","state",2024-04-08,"Cobolite Coalition Calling","Byteforge Domain",2000,"PDAL",887
"B","state",2024-04-08,"Cobolite Coalition Calling","Byteforge Domain",2000,"SSP",0
"B","state",2024-04-08,"No Province Left Behind","Quantumridge",500,"CC",79
"B","state",2024-04-08,"No Province Left Behind","Quantumridge",500,"DGM",154
"B","state",2024-04-08,"No Province Left Behind","Quantumridge",500,"PDAL",266
"B","state",2024-04-08,"No Province Left Behind","Quantumridge",500,"SSP",0
"B","state",2024-04-11,"Cobolite Coalition Calling","Infinitron Peninsula",2000,"CC",1367
"B","state",2024-04-11,"Cobolite Coalition Calling","Infinitron Peninsula",2000,"DGM",323
"B","state",2024-04-11,"Cobolite Coalition Calling","Infinitron Peninsula",2000,"PDAL",311
"B","state",2024-04-11,"Cobolite Coalition Calling","Infinitron Peninsula",2000,"SSP",0
"B","state",2024-04-13,"Cobolite Coalition Calling","Quantumridge",2000,"CC",441
"B","state",2024-04-13,"Cobolite Coalition Calling","Quantumridge",2000,"DGM",551
"B","state",2024-04-13,"Cobolite Coalition Calling","Quantumridge",2000,"PDAL",1008
"B","state",2024-04-13,"Cobolite Coalition Calling","Quantumridge",2000,"SSP",0
"B","state",2024-04-14,"Cobolite Coalition Calling","Byteforge Domain",2000,"CC",1085
"B","state",2024-04-14,"Cobolite Coalition Calling","Byteforge Domain",2000,"DGM",117
"B","state",2024-04-14,"Cobolite Coalition Calling","Byteforge Domain",2000,"PDAL",798
"B","state",2024-04-14,"Cobolite Coalition Calling","Byteforge Domain",2000,"SSP",0
"B","state",2024-04-14,"Synapse Strategies","Cortexia",1000,"CC",157
"B","state",2024-04-14,"Synapse Strategies","Cortexia",1000,"DGM",204
"B","state",2024-04-14,"Synapse Strategies","Cortexia",1000,"PDAL",266
"B","state",2024-04-14,"Synapse Strategies","Cortexia",1000,"SSP",373
"B","state",2024-04-14,"No Province Left Behind","Quantumridge",500,"CC",121
"B","state",2024-04-14,"No Province Left Behind","Quantumridge",500,"DGM",115
"B","state",2024-04-14,"No Province Left Behind","Quantumridge",500,"PDAL",265
"B","state",2024-04-14,"No Province Left Behind","Quantumridge",500,"SSP",0
"B","state",2024-04-15,"Progressive Polling","Byteforge Domain",1000,"CC",463
"B","state",2024-04-15,"Progressive Polling","Byteforge Domain",1000,"DGM",66
"B","state",2024-04-15,"Progressive Polling","Byteforge Domain",1000,"PDAL",470
"B","state",2024-04-15,"Progressive Polling","Byteforge Domain",1000,"SSP",0
"B","state",2024-04-17,"Cobolite Coalition Calling","Byteforge Domain",2000,"CC",1103
"B","state",2024-04-17,"Cobolite Coalition Calling","Byteforge Domain",2000,"DGM",106
"B","state",2024-04-17,"Cobolite Coalition Calling","Byteforge Domain",2000,"PDAL",791
"B","state",2024-04-17,"Cobolite Coalition Calling","Byteforge Domain",2000,"SSP",0
"B","state",2024-04-18,"Synapse Strategies","Neuronia",1000,"CC",36
"B","state",2024-04-18,"Synapse Strategies","Neuronia",1000,"DGM",131
"B","state",2024-04-18,"Synapse Strategies","Neuronia",1000,"PDAL",90
"B","state",2024-04-18,"Synapse Strategies","Neuronia",1000,"SSP",743
"B","regional",2024-04-19,"Big Dataland Surveys","Circuit Confederation",10000,"CC",2852
"B","regional",2024-04-19,"Big Dataland Surveys","Circuit Confederation",10000,"DGM",3034
"B","regional",2024-04-19,"Big Dataland Surveys","Circuit Confederation",10000,"PDAL",4114
"B","regional",2024-04-19,"Big Dataland Surveys","Circuit Confederation",10000,"SSP",0
"B","national",2024-04-03,"Dataland Daily","National",200,"CC",66
"B","national",2024-04-03,"Dataland Daily","National",200,"DGM",48
"B","national",2024-04-03,"Dataland Daily","National",200,"PDAL",75
"B","national",2024-04-03,"Dataland Daily","National",200,"SSP",11
"B","national",2024-04-05,"Dataland Daily","National",200,"CC",53
"B","national",2024-04-05,"Dataland Daily","National",200,"DGM",62
"B","national",2024-04-05,"Dataland Daily","National",200,"PDAL",72
"B","national",2024-04-05,"Dataland Daily","National",200,"SSP",13
"B","national",2024-04-05,"Dataland Daily","National",200,"CC",60
"B","national",2024-04-05,"Dataland Daily","National",200,"DGM",47
"B","national",2024-04-05,"Dataland Daily","National",200,"PDAL",77
"B","national",2024-04-05,"Dataland Daily","National",200,"SSP",16
"B","national",2024-04-07,"Dataland Daily","National",200,"CC",74
"B","national",2024-04-07,"Dataland Daily","National",200,"DGM",56
"B","national",2024-04-07,"Dataland Daily","National",200,"PDAL",59
"B","national",2024-04-07,"Dataland Daily","National",200,"SSP",11
"B","national",2024-04-07,"Dataland Daily","National",200,"CC",67
"B","national",2024-04-07,"Dataland Daily","National",200,"DGM",42
"B","national",2024-04-07,"Dataland Daily","National",200,"PDAL",79
"B","national",2024-04-07,"Dataland Daily","National",200,"SSP",12
"B","national",2024-04-08,"Dataland Daily","National",200,"CC",69
"B","national",2024-04-08,"Dataland Daily","National",200,"DGM",47
"B","national",2024-04-08,"Dataland Daily","National",200,"PDAL",77
"B","national",2024-04-08,"Dataland Daily","National",200,"SSP",7
"B","national",2024-04-08,"Big Dataland Surveys","National",10000,"CC",3280
"B","national",2024-04-08,"Big Dataland Surveys","National",10000,"DGM",2491
"B","national",2024-04-08,"Big Dataland Surveys","National",10000,"PDAL",3477
"B","national",2024-04-08,"Big Dataland Surveys","National",10000,"SSP",752
"B","national",2024-04-10,"Dataland Daily","National",200,"CC",55
"B","national",2024-04-10,"Dataland Daily","National",200,"DGM",58
"B","national",2024-04-10,"Dataland Daily","National",200,"PDAL",75
"B","national",2024-04-10,"Dataland Daily","National",200,"SSP",13
"B","national",2024-04-11,"Dataland Daily","National",200,"CC",86
"B","national",2024-04-11,"Dataland Daily","National",200,"DGM",43
"B","national",2024-04-11,"Dataland Daily","National",200,"PDAL",54
"B","national",2024-04-11,"Dataland Daily","National",200,"SSP",17
"B","national",2024-04-12,"Dataland Daily","National",200,"CC",60
"B","national",2024-04-12,"Dataland Daily","National",200,"DGM",53
"B","national",2024-04-12,"Dataland Daily","National",200,"PDAL",61
"B","national",2024-04-12,"Dataland Daily","National",200,"SSP",26
"B","national",2024-04-12,"Dataland Daily","National",200,"CC",79
"B","national",2024-04-12,"Dataland Daily","National",200,"DGM",39
"B","national",2024-04-12,"Dataland Daily","National",200,"PDAL",62
"B","national",2024-04-12,"Dataland Daily","National",200,"SSP",21
"B","national",2024-04-13,"Dataland Daily","National",200,"CC",54
"B","national",2024-04-13,"Dataland Daily","National",200,"DGM",55
"B","national",2024-04-13,"Dataland Daily","National",200,"PDAL",77
"B","national",2024-04-13,"Dataland Daily","National",200,"SSP",14
"B","national",2024-04-15,"Dataland Daily","National",200,"CC",50
"B","national",2024-04-15,"Dataland Daily","National",200,"DGM",70
"B","national",2024-04-15,"Dataland Daily","National",200,"PDAL",67
