"scenario","type_of_poll","date","pollster","geography","sample_size","party","value"
"C","state",2024-04-02,"Cobolite Coalition Calling","Infoglen",2000,"CC",637
"C","state",2024-04-02,"Cobolite Coalition Calling","Infoglen",2000,"DGM",692
"C","state",2024-04-02,"Cobolite Coalition Calling","Infoglen",2000,"PDAL",671
"C","state",2024-04-02,"Cobolite Coalition Calling","Infoglen",2000,"SSP",0
"C","state",2024-04-03,"Progressive Polling","Cortexia",1000,"CC",116
"C","state",2024-04-03,"Progressive Polling","Cortexia",1000,"DGM",226
"C","state",2024-04-03,"Progressive Polling","Cortexia",1000,"PDAL",307
"C","state",2024-04-03,"Progressive Polling","Cortexia",1000,"SSP",352
"C","state",2024-04-04,"Progressive Polling","Circuiton",1000,"CC",92
"C","state",2024-04-04,"Progressive Polling","Circuiton",1000,"DGM",553
"C","state",2024-04-04,"Progressive Polling","Circuiton",1000,"PDAL",355
"C","state",2024-04-04,"Progressive Polling","Circuiton",1000,"SSP",0
"C","state",2024-04-06,"Progressive Polling","Cortexia",1000,"CC",118
"C","state",2024-04-06,"Progressive Polling","Cortexia",1000,"DGM",310
"C","state",2024-04-06,"Progressive Polling","Cortexia",1000,"PDAL",267
"C","state",2024-04-06,"Progressive Polling","Cortexia",1000,"SSP",305
"C","state",2024-04-08,"Cobolite Coalition Calling","Voltagea",2000,"CC",446
"C","state",2024-04-08,"Cobolite Coalition Calling","Voltagea",2000,"DGM",859
"C","state",2024-04-08,"Cobolite Coalition Calling","Voltagea",2000,"PDAL",695
"C","state",2024-04-08,"Cobolite Coalition Calling","Voltagea",2000,"SSP",0
"C","state",2024-04-08,"Cobolite Coalition Calling","Neuronia",2000,"CC",198
"C","state",2024-04-08,"Cobolite Coalition Calling","Neuronia",2000,"DGM",533
"C","state",2024-04-08,"Cobolite Coalition Calling","Neuronia",2000,"PDAL",281
"C","state",2024-04-08,"Cobolite Coalition Calling","Neuronia",2000,"SSP",988
"C","state",2024-04-11,"Progressive Polling","Cortexia",1000,"CC",115
"C","state",2024-04-11,"Progressive Polling","Cortexia",1000,"DGM",240
"C","state",2024-04-11,"Progressive Polling","Cortexia",1000,"PDAL",290
"C","state",2024-04-11,"Progressive Polling","Cortexia",1000,"SSP",355
"C","state",2024-04-12,"Progressive Polling","Cortexia",1000,"CC",105
"C","state",2024-04-12,"Progressive Polling","Cortexia",1000,"DGM",275
"C","state",2024-04-12,"Progressive Polling","Cortexia",1000,"PDAL",249
"C","state",2024-04-12,"Progressive Polling","Cortexia",1000,"SSP",371
"C","state",2024-04-13,"Progressive Polling","Infoglen",1000,"CC",250
"C","state",2024-04-13,"Progressive Polling","Infoglen",1000,"DGM",431
"C","state",2024-04-13,"Progressive Polling","Infoglen",1000,"PDAL",319
"C","state",2024-04-13,"Progressive Polling","Infoglen",1000,"SSP",0
"C","state",2024-04-16,"Progressive Polling","Circuiton",1000,"CC",145
"C","state",2024-04-16,"Progressive Polling","Circuiton",1000,"DGM",495
"C","state",2024-04-16,"Progressive Polling","Circuiton",1000,"PDAL",359
"C","state",2024-04-16,"Progressive Polling","Circuiton",1000,"SSP",0
"C","state",2024-04-18,"Cobolite Coalition Calling","Infinitron Peninsula",2000,"CC",923
"C","state",2024-04-18,"Cobolite Coalition Calling","Infinitron Peninsula",2000,"DGM",667
"C","state",2024-04-18,"Cobolite Coalition Calling","Infinitron Peninsula",2000,"PDAL",410
"C","state",2024-04-18,"Cobolite Coalition Calling","Infinitron Peninsula",2000,"SSP",0
"C","state",2024-04-18,"Metaflux University","Infoglen",1500,"CC",336
"C","state",2024-04-18,"Metaflux University","Infoglen",1500,"DGM",688
"C","state",2024-04-18,"Metaflux University","Infoglen",1500,"PDAL",476
"C","state",2024-04-18,"Metaflux University","Infoglen",1500,"SSP",0
"C","state",2024-04-19,"No Province Left Behind","Quantumridge",500,"CC",92
"C","state",2024-04-19,"No Province Left Behind","Quantumridge",500,"DGM",229
"C","state",2024-04-19,"No Province Left Behind","Quantumridge",500,"PDAL",179
"C","state",2024-04-19,"No Province Left Behind","Quantumridge",500,"SSP",0
"C","state",2024-04-22,"Cobolite Coalition Calling","Cortexia",2000,"CC",411
"C","state",2024-04-22,"Cobolite Coalition Calling","Cortexia",2000,"DGM",521
"C","state",2024-04-22,"Cobolite Coalition Calling","Cortexia",2000,"PDAL",459
"C","state",2024-04-22,"Cobolite Coalition Calling","Cortexia",2000,"SSP",609
"C","state",2024-04-23,"Cobolite Coalition Calling","Amperville",2000,"CC",151
"C","state",2024-04-23,"Cobolite Coalition Calling","Amperville",2000,"DGM",475
"C","state",2024-04-23,"Cobolite Coalition Calling","Amperville",2000,"PDAL",1374
"C","state",2024-04-23,"Cobolite Coalition Calling","Amperville",2000,"SSP",0
"C","state",2024-04-24,"Metaflux University","Infoglen",1500,"CC",478
"C","state",2024-04-24,"Metaflux University","Infoglen",1500,"DGM",555
"C","state",2024-04-24,"Metaflux University","Infoglen",1500,"PDAL",467
"C","state",2024-04-24,"Metaflux University","Infoglen",1500,"SSP",0
"C","state",2024-04-25,"Metaflux University","Infinitron Peninsula",1500,"CC",618
"C","state",2024-04-25,"Metaflux University","Infinitron Peninsula",1500,"DGM",699
"C","state",2024-04-25,"Metaflux University","Infinitron Peninsula",1500,"PDAL",183
"C","state",2024-04-25,"Metaflux University","Infinitron Peninsula",1500,"SSP",0
"C","state",2024-04-26,"Progressive Polling","Infoglen",1000,"CC",290
"C","state",2024-04-26,"Progressive Polling","Infoglen",1000,"DGM",472
"C","state",2024-04-26,"Progressive Polling","Infoglen",1000,"PDAL",238
"C","state",2024-04-26,"Progressive Polling","Infoglen",1000,"SSP",0
"C","state",2024-04-27,"Proudly Paid For Polling","Byteforge Domain",1000,"CC",288
"C","state",2024-04-27,"Proudly Paid For Polling","Byteforge Domain",1000,"DGM",174
"C","state",2024-04-27,"Proudly Paid For Polling","Byteforge Domain",1000,"PDAL",538
"C","state",2024-04-27,"Proudly Paid For Polling","Byteforge Domain",1000,"SSP",0
"C","state",2024-04-28,"Metaflux University","Infoglen",1500,"CC",466
"C","state",2024-04-28,"Metaflux University","Infoglen",1500,"DGM",684
"C","state",2024-04-28,"Metaflux University","Infoglen",1500,"PDAL",350
"C","state",2024-04-28,"Metaflux University","Infoglen",1500,"SSP",0
"C","state",2024-05-01,"Dataland Register-Gazette","Infoglen",1500,"CC",491
"C","state",2024-05-01,"Dataland Register-Gazette","Infoglen",1500,"DGM",636
"C","state",2024-05-01,"Dataland Register-Gazette","Infoglen",1500,"PDAL",373
"C","state",2024-05-01,"Dataland Register-Gazette","Infoglen",1500,"SSP",0
"C","state",2024-05-01,"Proudly Paid For Polling","Byteforge Domain",1000,"CC",416
"C","state",2024-05-01,"Proudly Paid For Polling","Byteforge Domain",1000,"DGM",168
"C","state",2024-05-01,"Proudly Paid For Polling","Byteforge Domain",1000,"PDAL",416
"C","state",2024-05-01,"Proudly Paid For Polling","Byteforge Domain",1000,"SSP",0
"C","state",2024-05-01,"Dataland Register-Gazette","Circuiton",1500,"CC",249
"C","state",2024-05-01,"Dataland Register-Gazette","Circuiton",1500,"DGM",699
"C","state",2024-05-01,"Dataland Register-Gazette","Circuiton",1500,"PDAL",551
"C","state",2024-05-01,"Dataland Register-Gazette","Circuiton",1500,"SSP",0
"C","state",2024-05-02,"Metaflux University","Infoglen",1500,"CC",477
"C","state",2024-05-02,"Metaflux University","Infoglen",1500,"DGM",631
"C","state",2024-05-02,"Metaflux University","Infoglen",1500,"PDAL",392
"C","state",2024-05-02,"Metaflux University","Infoglen",1500,"SSP",0
"C","state",2024-05-02,"Proudly Paid For Polling","Infinitron Peninsula",1000,"CC",354
"C","state",2024-05-02,"Proudly Paid For Polling","Infinitron Peninsula",1000,"DGM",507
"C","state",2024-05-02,"Proudly Paid For Polling","Infinitron Peninsula",1000,"PDAL",139
"C","state",2024-05-02,"Proudly Paid For Polling","Infinitron Peninsula",1000,"SSP",0
"C","state",2024-05-02,"No Province Left Behind","Quantumridge",500,"CC",109
"C","state",2024-05-02,"No Province Left Behind","Quantumridge",500,"DGM",204
"C","state",2024-05-02,"No Province Left Behind","Quantumridge",500,"PDAL",188
"C","state",2024-05-02,"No Province Left Behind","Quantumridge",500,"SSP",0
"C","state",2024-05-03,"No Province Left Behind","Infinitron Peninsula",500,"CC",220
"C","state",2024-05-03,"No Province Left Behind","Infinitron Peninsula",500,"DGM",208
"C","state",2024-05-03,"No Province Left Behind","Infinitron Peninsula",500,"PDAL",72
"C","state",2024-05-03,"No Province Left Behind","Infinitron Peninsula",500,"SSP",0
"C","state",2024-05-04,"Metaflux University","Quantumridge",1500,"CC",287
"C","state",2024-05-04,"Metaflux University","Quantumridge",1500,"DGM",589
"C","state",2024-05-04,"Metaflux University","Quantumridge",1500,"PDAL",624
"C","state",2024-05-04,"Metaflux University","Quantumridge",1500,"SSP",0
