"scenario","type_of_poll","date","pollster","geography","sample_size","party","value"
"E","state",2024-04-06,"Progressive Polling","Electropolis",1000,"CC",213
"E","state",2024-04-06,"Progressive Polling","Electropolis",1000,"DGM",453
"E","state",2024-04-06,"Progressive Polling","Electropolis",1000,"PDAL",335
"E","state",2024-04-06,"Progressive Polling","Electropolis",1000,"SSP",0
"E","state",2024-04-07,"Progressive Polling","Byteforge Domain",1000,"CC",280
"E","state",2024-04-07,"Progressive Polling","Byteforge Domain",1000,"DGM",131
"E","state",2024-04-07,"Progressive Polling","Byteforge Domain",1000,"PDAL",589
"E","state",2024-04-07,"Progressive Polling","Byteforge Domain",1000,"SSP",0
"E","state",2024-04-07,"No Province Left Behind","Neuronia",500,"CC",18
"E","state",2024-04-07,"No Province Left Behind","Neuronia",500,"DGM",180
"E","state",2024-04-07,"No Province Left Behind","Neuronia",500,"PDAL",47
"E","state",2024-04-07,"No Province Left Behind","Neuronia",500,"SSP",255
"E","state",2024-04-16,"Progressive Polling","Circuiton",1000,"CC",60
"E","state",2024-04-16,"Progressive Polling","Circuiton",1000,"DGM",567
"E","state",2024-04-16,"Progressive Polling","Circuiton",1000,"PDAL",373
"E","state",2024-04-16,"Progressive Polling","Circuiton",1000,"SSP",0
"E","state",2024-04-17,"Cobolite Coalition Calling","Voltagea",2000,"CC",166
"E","state",2024-04-17,"Cobolite Coalition Calling","Voltagea",2000,"DGM",1038
"E","state",2024-04-17,"Cobolite Coalition Calling","Voltagea",2000,"PDAL",796
"E","state",2024-04-17,"Cobolite Coalition Calling","Voltagea",2000,"SSP",0
"E","state",2024-04-20,"Synapse Strategies","Neuronia",1000,"CC",20
"E","state",2024-04-20,"Synapse Strategies","Neuronia",1000,"DGM",364
"E","state",2024-04-20,"Synapse Strategies","Neuronia",1000,"PDAL",87
"E","state",2024-04-20,"Synapse Strategies","Neuronia",1000,"SSP",529
"E","state",2024-04-20,"No Province Left Behind","Neuronia",500,"CC",15
"E","state",2024-04-20,"No Province Left Behind","Neuronia",500,"DGM",228
"E","state",2024-04-20,"No Province Left Behind","Neuronia",500,"PDAL",40
"E","state",2024-04-20,"No Province Left Behind","Neuronia",500,"SSP",216
"E","state",2024-04-20,"No Province Left Behind","Quantumridge",500,"CC",93
"E","state",2024-04-20,"No Province Left Behind","Quantumridge",500,"DGM",232
"E","state",2024-04-20,"No Province Left Behind","Quantumridge",500,"PDAL",175
"E","state",2024-04-20,"No Province Left Behind","Quantumridge",500,"SSP",0
"E","state",2024-04-22,"Metaflux University","Binaryshire",1500,"CC",1215
"E","state",2024-04-22,"Metaflux University","Binaryshire",1500,"DGM",70
"E","state",2024-04-22,"Metaflux University","Binaryshire",1500,"PDAL",215
"E","state",2024-04-22,"Metaflux University","Binaryshire",1500,"SSP",0
"E","state",2024-04-22,"Metaflux University","Infinitron Peninsula",1500,"CC",521
"E","state",2024-04-22,"Metaflux University","Infinitron Peninsula",1500,"DGM",605
"E","state",2024-04-22,"Metaflux University","Infinitron Peninsula",1500,"PDAL",373
"E","state",2024-04-22,"Metaflux University","Infinitron Peninsula",1500,"SSP",0
"E","state",2024-04-23,"Cobolite Coalition Calling","Byteforge Domain",2000,"CC",963
"E","state",2024-04-23,"Cobolite Coalition Calling","Byteforge Domain",2000,"DGM",267
"E","state",2024-04-23,"Cobolite Coalition Calling","Byteforge Domain",2000,"PDAL",770
"E","state",2024-04-23,"Cobolite Coalition Calling","Byteforge Domain",2000,"SSP",0
"E","state",2024-04-24,"Synapse Strategies","Cortexia",1000,"CC",87
"E","state",2024-04-24,"Synapse Strategies","Cortexia",1000,"DGM",402
"E","state",2024-04-24,"Synapse Strategies","Cortexia",1000,"PDAL",305
"E","state",2024-04-24,"Synapse Strategies","Cortexia",1000,"SSP",206
"E","state",2024-04-24,"Cobolite Coalition Calling","Neuronia",2000,"CC",72
"E","state",2024-04-24,"Cobolite Coalition Calling","Neuronia",2000,"DGM",421
"E","state",2024-04-24,"Cobolite Coalition Calling","Neuronia",2000,"PDAL",206
"E","state",2024-04-24,"Cobolite Coalition Calling","Neuronia",2000,"SSP",1300
"E","state",2024-04-25,"Metaflux University","Byteforge Domain",1500,"CC",468
"E","state",2024-04-25,"Metaflux University","Byteforge Domain",1500,"DGM",317
"E","state",2024-04-25,"Metaflux University","Byteforge Domain",1500,"PDAL",715
"E","state",2024-04-25,"Metaflux University","Byteforge Domain",1500,"SSP",0
"E","state",2024-04-26,"No Province Left Behind","Quantumridge",500,"CC",63
"E","state",2024-04-26,"No Province Left Behind","Quantumridge",500,"DGM",216
"E","state",2024-04-26,"No Province Left Behind","Quantumridge",500,"PDAL",221
"E","state",2024-04-26,"No Province Left Behind","Quantumridge",500,"SSP",0
"E","state",2024-04-27,"Synapse Strategies","Neuronia",1000,"CC",13
"E","state",2024-04-27,"Synapse Strategies","Neuronia",1000,"DGM",329
"E","state",2024-04-27,"Synapse Strategies","Neuronia",1000,"PDAL",69
"E","state",2024-04-27,"Synapse Strategies","Neuronia",1000,"SSP",590
"E","state",2024-04-28,"Progressive Polling","Infoglen",1000,"CC",183
"E","state",2024-04-28,"Progressive Polling","Infoglen",1000,"DGM",490
"E","state",2024-04-28,"Progressive Polling","Infoglen",1000,"PDAL",327
"E","state",2024-04-28,"Progressive Polling","Infoglen",1000,"SSP",0
"E","state",2024-04-28,"Synapse Strategies","Neuronia",1000,"CC",29
"E","state",2024-04-28,"Synapse Strategies","Neuronia",1000,"DGM",278
