"date","cc_mean_vote_share","dgm_mean_vote_share","pdal_mean_vote_share","ssp_mean_vote_share","cc_prob_win","dgm_prob_win","pdal_prob_win","ssp_prob_win"
2024-04-03,0.332383318,0.246675165,0.353696625,0.0672449092,0.923,0.034,0.043,0
2024-04-04,0.341476991,0.237745139,0.352747503,0.0680303499,0.958,0.011,0.031,0
2024-04-05,0.337165253,0.241370705,0.352990648,0.0684733874,0.954,0.01,0.036,0
2024-04-06,0.336508439,0.239818055,0.354827755,0.0688457321,0.981,0.003,0.016,0
2024-04-07,0.333925564,0.237823089,0.359999563,0.0682517906,0.975,0.004,0.021,0
2024-04-08,0.342517912,0.231556153,0.358658582,0.0672673506,0.991,0.001,0.008,0
2024-04-09,0.36350693,0.212106971,0.355119429,0.0692666563,0.999,0,0.001,0
2024-04-10,0.352860094,0.222692957,0.356412266,0.0680347003,0.999,0,0.001,0
2024-04-11,0.347857249,0.234825093,0.350656553,0.0666610812,0.989,0.005,0.006,0
2024-04-12,0.372395441,0.223070411,0.336445261,0.0680888692,0.996,0.001,0.003,0
2024-04-13,0.379140948,0.217979384,0.33432114,0.0685585208,0.999,0.001,0,0
2024-04-14,0.372820388,0.223039098,0.337073522,0.0670670007,0.991,0.004,0.005,0
2024-04-15,0.364235289,0.227515238,0.342022529,0.0662269456,0.99,0.003,0.007,0
2024-04-16,0.353923051,0.233525477,0.347121679,0.0654297649,0.983,0.005,0.012,0
2024-04-17,0.351292428,0.23992146,0.343323344,0.065462786,0.977,0.014,0.009,0
2024-04-18,0.35087756,0.244293325,0.338576611,0.0662525071,0.982,0.013,0.005,0
2024-04-19,0.342905725,0.250205238,0.338722857,0.0681661651,0.966,0.029,0.005,0
2024-04-20,0.346813267,0.243196034,0.339262965,0.0707277539,0.976,0.018,0.006,0
2024-04-21,0.355004067,0.233820807,0.338144678,0.0730304332,0.996,0.003,0.001,0
2024-04-22,0.346959935,0.238172407,0.342473448,0.0723942153,0.993,0.005,0.002,0
2024-04-23,0.341756079,0.238250342,0.344215203,0.0757783822,0.994,0,0.006,0
2024-04-24,0.330085877,0.244332521,0.35062238,0.0749592117,0.997,0.002,0.001,0
2024-04-25,0.320486858,0.238757571,0.362205477,0.0785500831,0.959,0.018,0.023,0
2024-04-26,0.309880447,0.239765061,0.374618464,0.0757360211,0.895,0.007,0.098,0
2024-04-27,0.2924545,0.247236182,0.387824993,0.0724843032,0.608,0.034,0.358,0
2024-04-28,0.285481409,0.252113437,0.391028675,0.0713764623,0.529,0.013,0.458,0
2024-04-29,0.302154385,0.240859307,0.381715216,0.0752710995,0.864,0,0.136,0
2024-04-30,0.283409545,0.266273224,0.379993595,0.0703236338,0.291,0.021,0.688,0
2024-05-01,0.309004871,0.24590002,0.374680359,0.0704147387,0.95,0,0.05,0
2024-05-02,0.332198765,0.234481705,0.363945179,0.0693743434,1,0,0,0
2024-05-03,0.336903065,0.229963709,0.363088129,0.0700450955,1,0,0,0
2024-05-04,0.339960766,0.230216717,0.358927325,0.0708951971,1,0,0,0
2024-05-05,0.351236872,0.214790092,0.36011531,0.0738577132,1,0,0,0
2024-05-06,0.322126362,0.231502476,0.373046966,0.0733241803,0.964,0,0.036,0
2024-05-07,0.323718069,0.237344639,0.371132105,0.0678052089,0.963,0,0.037,0
2024-05-08,0.306922289,0.233602758,0.391954508,0.0675204576,0.662,0,0.338,0
2024-05-09,0.317927979,0.221250362,0.389608424,0.0712132257,0.977,0,0.023,0
2024-05-10,0.320327412,0.215570819,0.393602039,0.0704997449,0.927,0,0.073,0
2024-05-11,0.320382955,0.220116429,0.389259343,0.0702412875,0.928,0,0.072,0
2024-05-12,0.320840969,0.218722627,0.38954602,0.0708903804,0.84,0,0.16,0
