"date","cc_mean_vote_share","dgm_mean_vote_share","pdal_mean_vote_share","ssp_mean_vote_share","cc_prob_win","dgm_prob_win","pdal_prob_win","ssp_prob_win"
2024-04-03,0.26028082,0.338671574,0.3268958965,0.07415169745,0.1125,0.801,0.0865,0
2024-04-04,0.2562818405,0.342290294,0.328457488,0.07297038065,0.076,0.853,0.071,0
2024-04-05,0.234462588,0.371693113,0.3241815425,0.069662745,0.0165,0.9675,0.016,0
2024-04-06,0.223777332,0.3916881365,0.3172249725,0.0673095593,0.0025,0.9955,0.002,0
2024-04-07,0.2264939005,0.394883648,0.312061975,0.06656047075,0.001,0.9975,0.0015,0
2024-04-08,0.237342485,0.382403363,0.3094586915,0.0707954673,0.0015,0.9975,0.001,0
2024-04-09,0.2419998095,0.372460036,0.3145567015,0.07098346115,0.01,0.986,0.004,0
2024-04-10,0.2425919685,0.3638073265,0.3220587835,0.0715419327,0.0195,0.9735,0.007,0
2024-04-11,0.249156801,0.3454105355,0.3332467655,0.0721858974,0.0415,0.9165,0.042,0
2024-04-12,0.228196386,0.364575015,0.33793739,0.0692912037,5e-04,0.992,0.0075,0
2024-04-13,0.231720224,0.361293262,0.332343116,0.07464340225,0.007,0.9845,0.0085,0
2024-04-14,0.23526462,0.359221588,0.328609858,0.07690392785,0.0085,0.9835,0.008,0
2024-04-15,0.2352372905,0.359449173,0.329958427,0.0753551023,0.012,0.9835,0.0045,0
2024-04-16,0.2214729475,0.3747145535,0.330897951,0.07291452125,5e-04,0.9975,0.002,0
2024-04-17,0.2245503815,0.371085423,0.3322758235,0.0720883445,5e-04,0.9965,0.003,0
2024-04-18,0.214254783,0.3816108105,0.333177561,0.0709568374,0,0.9975,0.0025,0
2024-04-19,0.214884561,0.377168692,0.3366331895,0.07131355855,0,0.997,0.003,0
2024-04-20,0.202613522,0.396630805,0.3306306715,0.07012499245,0,1,0,0
2024-04-21,0.21768263,0.386171875,0.324458426,0.07168706725,0,1,0,0
2024-04-22,0.224306414,0.387156254,0.3172436855,0.0712936496,0,0.9995,5e-04,0
2024-04-23,0.2308809245,0.387684386,0.310536027,0.0708986448,0,1,0,0
2024-04-24,0.2287272445,0.3742421055,0.3208021025,0.0762285521,0,0.999,0.001,0
2024-04-25,0.2435472665,0.3415712005,0.3265188625,0.0883626595,0.0015,0.9685,0.03,0
2024-04-26,0.2336987285,0.370897753,0.3133121885,0.0820913281,0,0.9995,5e-04,0
2024-04-27,0.237328962,0.3738857355,0.309699599,0.0790856911,5e-04,0.9995,0,0
2024-04-28,0.2404712475,0.375929702,0.308058775,0.07554026595,0,1,0,0
2024-04-29,0.251318257,0.3702975,0.304158301,0.07422594635,0.001,0.999,0,0
2024-04-30,0.2537014915,0.3670827405,0.304599199,0.07461656985,0.0055,0.994,5e-04,0
2024-05-01,0.2699748595,0.339490411,0.3164230215,0.07411173115,0.032,0.935,0.033,0
2024-05-02,0.282972186,0.3418941895,0.302053585,0.0730800532,0.11,0.8795,0.0105,0
2024-05-03,0.26843184,0.3479567455,0.3112138545,0.0723975586,0.03,0.9555,0.0145,0
2024-05-04,0.2563705115,0.3585164345,0.3150288125,0.0700842347,0.001,0.998,0.001,0
2024-05-05,0.2653373105,0.340963104,0.32332266,0.07037690045,0.0105,0.955,0.0345,0
2024-05-06,0.2608948535,0.3366015015,0.332609971,0.06989367445,0.0035,0.9075,0.089,0
2024-05-07,0.247815057,0.3512942445,0.333869013,0.06702168365,0.0015,0.9005,0.098,0
2024-05-08,0.248079397,0.3426796445,0.3426672365,0.066573733,0.001,0.7005,0.2985,0
2024-05-09,0.2431629065,0.351948749,0.3413993405,0.06348899375,0,0.889,0.111,0
2024-05-10,0.2179602985,0.3683473675,0.35299997,0.06069236575,0,0.9545,0.0455,0
2024-05-11,0.2314993705,0.336486274,0.369166726,0.0628476224,0,0.577,0.423,0
2024-05-12,0.222809327,0.351449781,0.363975884,0.0617650167,0,0.705,0.295,0
