"date","cc_mean_vote_share","dgm_mean_vote_share","pdal_mean_vote_share","ssp_mean_vote_share","cc_prob_win","dgm_prob_win","pdal_prob_win","ssp_prob_win"
2024-04-03,0.242734576,0.32268251,0.375724639,0.0588582686,0.045,0.334,0.621,0
2024-04-04,0.243055442,0.322073787,0.376402668,0.0584681208,0.015,0.278,0.707,0
2024-04-05,0.241673724,0.327100142,0.372854947,0.0583711903,0.016,0.396,0.588,0
2024-04-06,0.236029288,0.334671079,0.371558754,0.0577408707,0.001,0.576,0.423,0
2024-04-07,0.253777389,0.341240586,0.346507876,0.0584741587,0.006,0.847,0.147,0
2024-04-08,0.26534073,0.313951607,0.357399043,0.0633086255,0.215,0.223,0.562,0
2024-04-09,0.274638054,0.290608655,0.36664476,0.0681085191,0.371,0.013,0.616,0
2024-04-10,0.247429231,0.299122426,0.387198141,0.0662501715,0.024,0.032,0.944,0
2024-04-11,0.238480666,0.296626054,0.399174408,0.0657188802,0.014,0.027,0.959,0
2024-04-12,0.225531834,0.304722261,0.405658173,0.0640877369,0.002,0.03,0.968,0
2024-04-13,0.211336174,0.311838863,0.413300827,0.063524155,0,0.017,0.983,0
2024-04-14,0.218105924,0.300481424,0.416728245,0.064684389,0,0.002,0.998,0
2024-04-15,0.228007004,0.291743177,0.415609915,0.0646398866,0,0.005,0.995,0
2024-04-16,0.232500877,0.296394914,0.410049097,0.0610551158,0,0.001,0.999,0
2024-04-17,0.240816976,0.29103113,0.406431105,0.0617208047,0.003,0.013,0.984,0
2024-04-18,0.240495062,0.294147898,0.402612071,0.0627449471,0.011,0.035,0.954,0
2024-04-19,0.245288861,0.296300437,0.395114517,0.0632961836,0.026,0.092,0.882,0
2024-04-20,0.235713836,0.294326801,0.401601751,0.0683576137,0.005,0.057,0.938,0
2024-04-21,0.226050662,0.30094885,0.405261205,0.0677392836,0.001,0.045,0.954,0
2024-04-22,0.217838114,0.306937217,0.408011832,0.06721282,0,0.123,0.877,0
2024-04-23,0.211701125,0.3122099,0.409545468,0.0665435066,0,0.111,0.889,0
2024-04-24,0.216334244,0.321471525,0.395651134,0.0665430777,0,0.584,0.416,0
2024-04-25,0.233085682,0.31047447,0.38894834,0.0674915032,0.007,0.498,0.495,0
2024-04-26,0.229235357,0.299660204,0.404219938,0.0668845045,0.001,0.008,0.991,0
2024-04-27,0.228318259,0.307663958,0.399053291,0.0649644918,0.012,0.155,0.833,0
2024-04-28,0.227216684,0.31519218,0.394532164,0.0630590034,0.015,0.269,0.716,0
2024-04-29,0.240874056,0.304662187,0.390473918,0.0639898327,0.047,0.237,0.716,0
2024-04-30,0.234998617,0.318630355,0.383608158,0.0627628857,0.048,0.516,0.436,0
2024-05-01,0.24685032,0.30733005,0.37985286,0.0659667566,0.205,0.391,0.404,0
2024-05-02,0.236672855,0.309304422,0.391081933,0.0629407937,0.016,0.116,0.868,0
2024-05-03,0.235733232,0.293655124,0.406497848,0.0641137655,0.001,0.017,0.982,0
2024-05-04,0.236864321,0.29537358,0.403136834,0.0646252651,0.01,0.018,0.972,0
2024-05-05,0.235791338,0.303917255,0.395549144,0.0647422941,0.015,0.14,0.845,0
2024-05-06,0.232640359,0.318319287,0.385025451,0.0640149127,0.015,0.384,0.601,0
