"date","cc_mean_vote_share","dgm_mean_vote_share","pdal_mean_vote_share","ssp_mean_vote_share","cc_prob_win","dgm_prob_win","pdal_prob_win","ssp_prob_win"
2024-04-02,0.205726414,0.386365007,0.365424992,0.0424835499,0.001,0.946,0.053,0
2024-04-03,0.201518437,0.393865557,0.362001998,0.0426140123,0,0.981,0.019,0
2024-04-04,0.195798963,0.399794686,0.361503346,0.0429030055,0,0.984,0.016,0
2024-04-05,0.18829492,0.410463263,0.359394833,0.0418469774,0,0.994,0.006,0
2024-04-06,0.182675419,0.422397306,0.353461169,0.0414661103,0,0.996,0.004,0
2024-04-07,0.17575374,0.435035391,0.348199346,0.0410115395,0,1,0,0
2024-04-08,0.176831296,0.432775293,0.348831844,0.041561576,0,1,0,0
2024-04-09,0.172672251,0.443033345,0.342790393,0.0415040104,0,1,0,0
2024-04-10,0.167670223,0.45440268,0.33694044,0.0409866661,0,1,0,0
2024-04-11,0.1610878,0.465938506,0.332705824,0.0402678822,0,1,0,0
2024-04-12,0.170253857,0.450036939,0.338730579,0.0409786254,0,1,0,0
2024-04-13,0.174472292,0.444750834,0.339788972,0.0409878967,0,1,0,0
2024-04-14,0.168377012,0.457636685,0.333467703,0.0405185972,0,1,0,0
2024-04-15,0.167235678,0.458294628,0.333663881,0.0408058259,0,1,0,0
2024-04-16,0.176389903,0.446012313,0.33640997,0.0411878272,0,1,0,0
2024-04-17,0.179951273,0.448230878,0.330700777,0.0411170971,0,1,0,0
2024-04-18,0.177204604,0.448643602,0.333831421,0.0403203804,0,1,0,0
2024-04-19,0.179251547,0.449475336,0.328915359,0.0423577556,0,1,0,0
2024-04-20,0.176071638,0.45517124,0.324489068,0.044268078,0,1,0,0
2024-04-21,0.179915475,0.44685756,0.326660548,0.0465664352,0,1,0,0
2024-04-22,0.169907987,0.450643697,0.332205948,0.0472423538,0,1,0,0
2024-04-23,0.173361371,0.432539044,0.344866764,0.0492328353,0,1,0,0
2024-04-24,0.165621181,0.441275945,0.343872797,0.0492300759,0,1,0,0
2024-04-25,0.166583172,0.444576753,0.34341778,0.0454222938,0,1,0,0
2024-04-26,0.182540135,0.420778573,0.351065629,0.0456156978,0,1,0,0
2024-04-27,0.18026058,0.439727835,0.336521814,0.0434897715,0,1,0,0
2024-04-28,0.19225296,0.426838293,0.33502553,0.0458832185,0,1,0,0
2024-04-29,0.190780485,0.426972148,0.334968939,0.0472784251,0,1,0,0
2024-04-30,0.190405888,0.433374905,0.328803264,0.0474159322,0,1,0,0
2024-05-01,0.183888793,0.447658722,0.324628419,0.0438240705,0,1,0,0
2024-05-02,0.194232575,0.435415149,0.326515939,0.0438363739,0,1,0,0
2024-05-03,0.199855614,0.443576838,0.312933378,0.043634189,0,1,0,0
2024-05-04,0.192570421,0.445575259,0.318258178,0.0435961554,0,1,0,0
2024-05-05,0.203809078,0.421823755,0.329817774,0.0445493664,0,1,0,0
2024-05-06,0.194464428,0.419169962,0.34233889,0.0440267279,0,1,0,0
2024-05-07,0.184653751,0.410882598,0.360225302,0.0442383437,0,1,0,0
2024-05-08,0.195566476,0.389353981,0.368516442,0.0465631072,0,1,0,0
2024-05-09,0.179187002,0.414026543,0.36033329,0.0464531616,0,1,0,0
2024-05-10,0.163175646,0.455637878,0.337749897,0.0434365874,0,1,0,0
2024-05-11,0.172820825,0.453222009,0.330834438,0.0431227678,0,1,0,0
2024-05-12,0.186977247,0.433061688,0.337520918,0.042440141,0,1,0,0
2024-05-13,0.192191278,0.422963867,0.340002057,0.0448428056,0,1,0,0
2024-05-14,0.17317448,0.447497676,0.336460397,0.0428674355,0,1,0,0
2024-05-15,0.175554453,0.44875954,0.332405397,0.043280594,0,1,0,0
2024-05-16,0.182294451,0.44275027,0.330724795,0.0442304802,0,1,0,0
2024-05-17,0.193354243,0.437568919,0.324657459,0.0444193904,0,1,0,0
2024-05-18,0.196041022,0.439290162,0.320211839,0.0444569818,0,1,0,0
2024-05-19,0.191432598,0.448495507,0.316710653,0.0433612471,0,1,0,0
