"date","province","cc_mean_vote_share","dgm_mean_vote_share","pdal_mean_vote_share","ssp_mean_vote_share","cc_prob_win","dgm_prob_win","pdal_prob_win","ssp_prob_win"
2024-04-02,"Amperville",0.09989228671,0.11850671956,0.781601014,0,0.002,0.004,0.994,0
2024-04-02,"Binaryshire",0.868990515,0.02095270663,0.11005677542,0,1,0,0,0
2024-04-02,"Byteforge Domain",0.4608631126,0.13623044468,0.4029064297,0,0.558,0.044,0.398,0
2024-04-02,"Cerebrica",0.2878085524,0.36836751,0.2516183502,0.0922056063,0.276,0.626,0.097,0.001
2024-04-02,"Circuiton",0.075035881287,0.6597686971,0.26519542027,0,0.016,0.865,0.119,0
2024-04-02,"Cortexia",0.1980253373,0.1913103918,0.278474376,0.332189892,0.045,0.027,0.264,0.664
2024-04-02,"Electropolis",0.3802224516,0.2638010823,0.355976455,0,0.508,0.165,0.327,0
2024-04-02,"Infinitron Peninsula",0.4770931413,0.32260727216,0.2002996092,0,0.624,0.328,0.048,0
2024-04-02,"Infoglen",0.3880359905,0.3703131999,0.241650799,0,0.525,0.462,0.013,0
2024-04-02,"Neuronia",0.07558554559,0.2041074442,0.148541763,0.571765267,0.003,0.067,0.026,0.904
2024-04-02,"Quantumridge",0.19988570548,0.4818361877,0.3182781127,0,0.16,0.596,0.244,0
2024-04-02,"Voltagea",0.1463252366,0.2929020473,0.56077271,0,0,0.034,0.966,0
2024-04-03,"Amperville",0.12131631797,0.09881672811,0.779866955,0,0.003,0,0.997,0
2024-04-03,"Binaryshire",0.896285569,0.014112375604,0.08960205146,0,1,0,0,0
2024-04-03,"Byteforge Domain",0.523749277,0.1058849178,0.3703657891,0,0.679,0.025,0.296,0
2024-04-03,"Cerebrica",0.310742204,0.348064487,0.2490614702,0.0921318367,0.356,0.567,0.077,0
2024-04-03,"Circuiton",0.095184843465,0.6191962767,0.2856188853,0,0.028,0.819,0.153,0
2024-04-03,"Cortexia",0.210289514,0.1807656184,0.273798014,0.335146869,0.014,0.002,0.128,0.856
2024-04-03,"Electropolis",0.454150043,0.2092338481,0.336616114,0,0.74,0.068,0.192,0
2024-04-03,"Infinitron Peninsula",0.5478616784,0.26307082329,0.1890675234,0,0.721,0.238,0.041,0
2024-04-03,"Infoglen",0.471474712,0.2977555476,0.230769749,0,0.774,0.221,0.005,0
2024-04-03,"Neuronia",0.08161378991,0.1957984346,0.1475419002,0.575045895,0.003,0.043,0.024,0.93
2024-04-03,"Quantumridge",0.24938093354,0.4237389157,0.3268801968,0,0.228,0.513,0.259,0
2024-04-03,"Voltagea",0.181457308,0.2454489679,0.573093727,0,0,0.002,0.998,0
2024-04-04,"Amperville",0.10494613954,0.1136664906,0.78138735,0,0,0.003,0.997,0
2024-04-04,"Binaryshire",0.884009621,0.016496243699,0.0994941252,0,1,0,0,0
2024-04-04,"Byteforge Domain",0.4796571296,0.12677672336,0.393566136,0,0.604,0.036,0.36,0
2024-04-04,"Cerebrica",0.2722814459,0.377195882,0.2600946189,0.0904280646,0.206,0.696,0.098,0
2024-04-04,"Circuiton",0.078666169132,0.6529953228,0.2683385125,0,0.021,0.856,0.123,0
2024-04-04,"Cortexia",0.1824064069,0.192854845,0.292547966,0.332190789,0.001,0,0.282,0.717
2024-04-04,"Electropolis",0.412436382,0.2421819676,0.345381681,0,0.625,0.114,0.261,0
2024-04-04,"Infinitron Peninsula",0.5004063224,0.30496304242,0.1946306433,0,0.656,0.307,0.037,0
2024-04-04,"Infoglen",0.420635262,0.3433969689,0.235967772,0,0.629,0.364,0.007,0
2024-04-04,"Neuronia",0.07221498242,0.2090762396,0.1488037471,0.569905023,0.002,0.059,0.029,0.91
2024-04-04,"Quantumridge",0.21023048715,0.47217414509,0.3175953345,0,0.159,0.596,0.245,0
2024-04-04,"Voltagea",0.1510523837,0.280721152,0.568226469,0,0,0.009,0.991,0
2024-04-05,"Amperville",0.11756170175,0.10234547815,0.780092806,0,0.003,0.001,0.996,0
2024-04-05,"Binaryshire",0.897383572,0.013400637224,0.089215779,0,1,0,0,0
2024-04-05,"Byteforge Domain",0.5154666401,0.11035037319,0.3741829699,0,0.678,0.027,0.295,0
2024-04-05,"Cerebrica",0.2681917466,0.373738861,0.2638391672,0.0942302361,0.202,0.672,0.126,0
2024-04-05,"Circuiton",0.093367865314,0.6279301005,0.2787020425,0,0.021,0.841,0.138,0
2024-04-05,"Cortexia",0.171332069,0.189073761,0.298163976,0.341430181,0,0,0.042,0.958
2024-04-05,"Electropolis",0.462452864,0.2075863128,0.329960829,0,0.791,0.047,0.162,0
2024-04-05,"Infinitron Peninsula",0.5363081247,0.27555954958,0.1881323352,0,0.708,0.258,0.034,0
2024-04-05,"Infoglen",0.471747291,0.3001209508,0.228131762,0,0.81,0.189,0.001,0
2024-04-05,"Neuronia",0.0698456361,0.2054861109,0.1446333548,0.580034936,0.002,0.052,0.024,0.922
2024-04-05,"Quantumridge",0.23135942516,0.44884148811,0.3197990577,0,0.191,0.56,0.249,0
2024-04-05,"Voltagea",0.17011188,0.255963823,0.573924278,0,0,0,1,0
2024-04-06,"Amperville",0.09694605395,0.1096208634,0.793433092,0,0,0.001,0.999,0
2024-04-06,"Binaryshire",0.883249052,0.01473775642,0.1020131842,0,1,0,0,0
2024-04-06,"Byteforge Domain",0.4598559873,0.12614803174,0.4139959851,0,0.549,0.032,0.419,0
2024-04-06,"Cerebrica",0.2374511726,0.390804841,0.289312305,0.0824317094,0.104,0.722,0.174,0
2024-04-06,"Circuiton",0.078249709775,0.643158312,0.2785920137,0,0.016,0.845,0.139,0
2024-04-06,"Cortexia",0.155717081,0.208634576,0.337383713,0.298264622,0.001,0.006,0.684,0.309
2024-04-06,"Electropolis",0.415449505,0.223600869,0.360949627,0,0.667,0.059,0.274,0
2024-04-06,"Infinitron Peninsula",0.492863153,0.30331454671,0.2038222964,0,0.642,0.308,0.05,0
2024-04-06,"Infoglen",0.430175138,0.321680857,0.248144004,0,0.729,0.269,0.002,0
2024-04-06,"Neuronia",0.06733353928,0.229503465,0.1612386098,0.541924364,0.001,0.084,0.027,0.888
2024-04-06,"Quantumridge",0.19751108831,0.4754735525,0.3270153693,0,0.139,0.605,0.256,0
2024-04-06,"Voltagea",0.1425523043,0.282561189,0.574886507,0,0,0.003,0.997,0
2024-04-07,"Amperville",0.11060021026,0.10627880237,0.78312099,0,0.002,0,0.998,0
2024-04-07,"Binaryshire",0.901668194,0.01171475234,0.0866170618,0,1,0,0,0
2024-04-07,"Byteforge Domain",0.494814327,0.1178969114,0.3872887501,0,0.638,0.023,0.339,0
2024-04-07,"Cerebrica",0.2303520512,0.397343056,0.298667525,0.0736373603,0.076,0.735,0.189,0
2024-04-07,"Circuiton",0.09189646322,0.6252312631,0.2828722853,0,0.023,0.845,0.132,0
2024-04-07,"Cortexia",0.1533340413,0.221320297,0.354610453,0.270735201,0.001,0.032,0.799,0.168
2024-04-07,"Electropolis",0.482407929,0.186675064,0.330917018,0,0.963,0,0.037,0
2024-04-07,"Infinitron Peninsula",0.5377545496,0.27300659053,0.1892388683,0,0.708,0.256,0.036,0
2024-04-07,"Infoglen",0.489226473,0.28141938,0.229354177,0,0.934,0.066,0,0
2024-04-07,"Neuronia",0.069738965,0.247672494,0.170227495,0.512361047,0.001,0.119,0.035,0.845
2024-04-07,"Quantumridge",0.22265101485,0.458571368,0.3187776034,0,0.178,0.604,0.218,0
2024-04-07,"Voltagea",0.1649989425,0.2774448627,0.55755623,0,0,0.005,0.995,0
2024-04-08,"Amperville",0.08717253146,0.09398923843,0.818838221,0,0,0,1,0
2024-04-08,"Binaryshire",0.908216974,0.00728840681,0.0844946339,0,1,0,0,0
2024-04-08,"Byteforge Domain",0.517638193,0.08506848877,0.3972933186,0,0.671,0.007,0.322,0
2024-04-08,"Cerebrica",0.2363161648,0.362691944,0.315609545,0.0853823486,0.09,0.607,0.303,0
